industry,vintage,size_band,loan_count,defaults,exposure,chargeoff_rate,portfolio_rate,rate_multiple,severity
Accommodation & Food Services,2007,<=50k,4021,1219,114526930.0,0.3032,0.1346,2.25,High
Information,2007,50k-150k,258,77,24714400.0,0.2984,0.1346,2.22,High
Educational Services,2007,<=50k,748,223,18872600.0,0.2981,0.1346,2.22,High
Other Services (except Public Admin),2007,50k-150k,1611,470,155839468.57,0.2917,0.1346,2.17,High
Retail Trade,2007,50k-150k,2941,859,290616226.0,0.2921,0.1346,2.17,High
Manufacturing,2007,<=50k,3267,940,93205500.0,0.2877,0.1346,2.14,High
Other Services (except Public Admin),2007,<=50k,5326,1535,136891324.0,0.2882,0.1346,2.14,High
"Professional, Scientific & Technical Services",2008,<=50k,4616,1315,123901505.0,0.2849,0.1346,2.12,High
"Professional, Scientific & Technical Services",2007,<=50k,6547,1868,174204150.0,0.2853,0.1346,2.12,High
Retail Trade,2006,<=50k,8793,2510,233312700.0,0.2855,0.1346,2.12,High
Transportation & Warehousing,2006,<=50k,2723,778,67488700.0,0.2857,0.1346,2.12,High
Wholesale Trade,2008,50k-150k,694,197,70762242.0,0.2839,0.1346,2.11,High
Transportation & Warehousing,2008,<=50k,1757,493,43286500.0,0.2806,0.1346,2.09,High
Transportation & Warehousing,2007,50k-150k,698,196,63916770.0,0.2808,0.1346,2.09,High
Accommodation & Food Services,2008,<=50k,2690,751,74460604.0,0.2792,0.1346,2.07,High
Construction,2007,350k-1m,346,95,210967006.0,0.2746,0.1346,2.04,High
Transportation & Warehousing,2006,50k-150k,707,193,65562240.0,0.273,0.1346,2.03,High
Construction,2006,<=50k,6919,1893,187976925.0,0.2736,0.1346,2.03,High
Accommodation & Food Services,2007,350k-1m,1302,356,736229055.0,0.2734,0.1346,2.03,High
"Arts, Entertainment & Recreation",2008,<=50k,734,200,19394500.0,0.2725,0.1346,2.02,High
Other Services (except Public Admin),2008,<=50k,3482,941,90124240.0,0.2702,0.1346,2.01,High
Retail Trade,2006,50k-150k,3302,892,326275924.0,0.2701,0.1346,2.01,High
Construction,2006,50k-150k,1659,446,158847222.0,0.2688,0.1346,2.0,High
Accommodation & Food Services,2007,150k-350k,2075,558,502875708.0,0.2689,0.1346,2.0,High
Administrative & Waste Management Services,2008,<=50k,2112,562,53817400.0,0.2661,0.1346,1.98,Elevated
Construction,2008,<=50k,4107,1087,117481700.0,0.2647,0.1346,1.97,Elevated
Construction,2008,350k-1m,351,93,206506209.0,0.265,0.1346,1.97,Elevated
